City_ID,City,Country,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed
313,Iralaya,HN,15.0,-83.2333,broken clouds,86.09,79,83,10.0
314,Pevek,RU,69.7008,170.3133,light snow,-4.76,95,100,9.06
315,Egvekinot,RU,66.3167,-179.1667,overcast clouds,-6.45,72,100,5.7
316,Thap Than,TH,15.4606,99.8917,broken clouds,67.68,73,75,1.95
317,Concepcion Del Oro,MX,24.6333,-101.4167,broken clouds,68.94,34,76,1.9
318,Shubarshi,KZ,48.5872,57.1869,scattered clouds,36.75,92,29,9.08
319,Ciranjang,ID,-6.7865,107.2832,broken clouds,70.97,90,77,3.27
320,Palauig,PH,15.435,119.9045,broken clouds,77.22,70,69,4.5
321,Itarema,BR,-2.9248,-39.9167,broken clouds,81.27,78,60,15.75
322,Alofi,NU,-19.0595,-169.9187,light rain,78.69,83,75,11.5
323,Mount Gambier,AU,-37.8333,140.7667,overcast clouds,58.91,88,90,8.05
324,Port Macquarie,AU,-31.4333,152.9167,overcast clouds,70.9,100,90,9.22
325,Baker City,US,44.7749,-117.8344,clear sky,52.83,66,1,0.0
326,Cradock,ZA,-32.1642,25.6192,clear sky,66.42,68,0,7.23
327,Smithers,CA,54.7804,-127.1743,broken clouds,35.92,75,75,5.75
328,Teahupoo,PF,-17.8333,-149.2667,light rain,80.56,79,100,23.09
329,Lubao,PH,14.9167,120.55,broken clouds,78.82,85,69,4.65
330,Cassilandia,BR,-19.1133,-51.7342,overcast clouds,82.33,66,100,2.62
331,Kungurtug,RU,50.5994,97.5228,scattered clouds,-1.66,93,27,1.7
332,Paita,PE,-5.0892,-81.1144,overcast clouds,75.76,78,98,14.63
333,Yabelo,ET,4.8833,38.0833,broken clouds,59.43,49,67,9.37
334,Vilhena,BR,-12.7406,-60.1458,moderate rain,71.82,94,75,13.8
335,Tikapur,NP,28.5,81.1333,overcast clouds,65.03,57,100,3.02
336,Aransas Pass,US,27.9095,-97.15,clear sky,81.21,64,1,5.99
337,Severo-Yeniseyskiy,RU,60.3725,93.0408,overcast clouds,14.9,90,100,9.73
338,Fortuna,US,40.5982,-124.1573,clear sky,63.66,71,1,0.0
339,Pafos,CY,34.7667,32.4167,overcast clouds,62.38,55,90,24.16
340,Franca,BR,-20.5386,-47.4008,overcast clouds,74.71,71,94,3.24
341,Tambopata,PE,-12.7333,-69.1833,scattered clouds,91.29,55,40,9.22
